# see details in the README file of the repository
day_zero	day	experiment	replicate_system	variable	value
2020-10-26	18	F3_50	a	Bs	60000000
2020-10-26	18	F3_50	b	Bs	59600000
2020-10-26	18	F3_50	a	F	16250
2020-10-26	18	F3_50	b	F	16250
2020-10-26	18	F5_50	a	Bs	67600000
2020-10-26	18	F5_50	b	Bs	63500000
2020-10-26	18	F5_50	a	F	17500
2020-10-26	18	F5_50	b	F	21250
2020-10-26	19	F0_50	a	Bs	36900000
2020-10-26	19	F0_50	b	Bs	40200000
2020-10-26	19	F3_50	a	Bs	38000000
2020-10-26	19	F3_50	b	Bs	34100000
2020-10-26	19	F3_50	a	F	78750
2020-10-26	19	F3_50	b	F	73750
2020-10-26	19	F5_50	a	Bs	40200000
2020-10-26	19	F5_50	b	Bs	35500000
2020-10-26	19	F5_50	a	F	80000
2020-10-26	19	F5_50	b	F	76250
2020-10-26	20	F0_50	a	Bs	36700000
2020-10-26	20	F0_50	b	Bs	40300000
2020-10-26	20	F3_50	a	Bs	8060000
2020-10-26	20	F3_50	b	Bs	9070000
2020-10-26	20	F3_50	a	F	107500
2020-10-26	20	F3_50	b	F	111250
2020-10-26	20	F5_50	a	Bs	9370000
2020-10-26	20	F5_50	b	Bs	9110000
2020-10-26	20	F5_50	a	F	106250
2020-10-26	20	F5_50	b	F	117500
2020-10-26	21	F0_50	a	Bs	41800000
2020-10-26	21	F0_50	b	Bs	39500000
2020-10-26	21	F3_50	a	Bs	5410000
2020-10-26	21	F3_50	b	Bs	5650000
2020-10-26	21	F3_50	a	F	111250
2020-10-26	21	F3_50	b	F	112500
2020-10-26	21	F5_50	a	Bs	5220000
2020-10-26	21	F5_50	b	Bs	4970000
2020-10-26	21	F5_50	a	F	131250
2020-10-26	21	F5_50	b	F	122500
2020-10-26	22	F0_50	a	Bs	37400000
2020-10-26	22	F0_50	b	Bs	39900000
2020-10-26	22	F3_50	a	Bs	1460000
2020-10-26	22	F3_50	b	Bs	634000
2020-10-26	22	F3_50	a	F	131250
2020-10-26	22	F3_50	b	F	122500
2020-10-26	22	F5_50	a	Bs	3250000
2020-10-26	22	F5_50	b	Bs	3580000
2020-10-26	22	F5_50	a	F	126250
2020-10-26	22	F5_50	b	F	126250
2020-10-26	23	F0_50	a	Bs	38900000
2020-10-26	23	F0_50	b	Bs	42100000
2020-10-26	23	F3_50	a	Bs	1770000
2020-10-26	23	F3_50	b	Bs	520000
2020-10-26	23	F3_50	a	F	116250
2020-10-26	23	F3_50	b	F	117500
2020-10-26	23	F5_50	a	Bs	2350000
2020-10-26	23	F5_50	b	Bs	1440000
2020-10-26	23	F5_50	a	F	118750
2020-10-26	23	F5_50	b	F	120000
2020-10-26	24	F0_50	a	Bs	37700000
2020-10-26	24	F0_50	b	Bs	42900000
2020-10-26	24	F3_50	a	Bs	2470000
2020-10-26	24	F3_50	b	Bs	1540000
2020-10-26	24	F3_50	a	F	112500
2020-10-26	24	F3_50	b	F	122500
2020-10-26	24	F5_50	a	Bs	1500000
2020-10-26	24	F5_50	b	Bs	429000
2020-10-26	24	F5_50	a	F	112500
2020-10-26	24	F5_50	b	F	115000
